STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:19380320;25.2;25.8;19.2;18.9;20.6;13.3;Attractiepark;Slagharen;234633.0;515436.5
NL:S:19380340;0.7;0.5;0.1;0.1;0.1;0.0;Dedemsvaartseweg 84;Lutten;233696.0;514132.5
NL:S:19380360;0.2;0.2;0.0;0.0;0.0;0.0;Coevorderweg;Lutten;233172.5;514091.0
NL:S:19380380;0.4;0.2;0.0;0.1;0.0;0.0;Tottenhamstraat/Proatkoele;Lutten;232166.5;514000.0
NL:S:19380400;2.1;2.1;0.0;0.1;0.1;0.1;Ongelukkige Wijk;Lutten;231713.0;513957.5
NL:S:19480010;1.1;0.7;0.1;0.1;0.2;0.1;Rheezerend 162;Dedemsvaart;231152.0;514148.0
NL:S:19480030;1.2;1.2;0.3;0.4;0.1;0.1;Rheezerend;Dedemsvaart;230348.0;514041.0
NL:S:19480050;0.5;0.6;0.3;0.2;0.1;0.0;Rheezerend 60;Dedemsvaart;229931.0;513987.0
NL:S:19480070;2.1;2.6;0.1;0.1;0.1;0.0;Industrieweg;Dedemsvaart;229518.0;513922.0
NL:S:19480090;3.3;3.2;0.5;0.3;0.1;0.0;Celsiusstraat;Dedemsvaart;229095.0;513867.5
NL:S:19480110;1.2;1.6;0.1;0.2;0.1;0.1;Van Haeringenstraat;Dedemsvaart;228504.5;513789.5
NL:S:19480130;30.7;29.7;7.4;6.6;5.6;4.3;De Magnolia;Dedemsvaart;228318.0;513679.5
NL:S:19480150;23.3;24.9;4.8;5.2;2.7;3.1;Hazelaar;Dedemsvaart;228371.5;513370.5
NL:S:19480170;9.4;11.5;1.6;2.9;1.2;1.5;Krikkenstraat;Dedemsvaart;227939.0;513097.5
NL:S:19480190;32.2;32.6;9.8;8.5;6.5;5.0;Haitjema;Dedemsvaart;227636.0;512984.0
NL:S:19480230;47.5;44.2;7.9;7.8;6.0;4.5;Adelaarweg;Dedemsvaart;227535.0;512505.5
NL:S:19480250;21.3;23.9;4.0;5.0;3.1;3.8;Sportlaan;Dedemsvaart;227157.5;512635.0
NL:S:19480280;69.4;69.0;13.6;11.7;12.4;9.6;Busstation;Dedemsvaart;226948.2;512924.8
NL:S:19480300;1.7;1.7;0.3;0.7;0.2;0.3;Hoofdvaart 115;Dedemsvaart;226422.5;512785.5
NL:S:19480320;1.4;1.6;0.3;0.5;0.3;0.2;Hoofdvaart 207;Dedemsvaart;225894.0;512677.0
NL:S:19480340;2.0;1.7;0.2;0.1;0.1;0.2;Het Rak;Dedemsvaart;224999.0;512853.5
NL:S:19480360;2.3;2.0;0.5;0.4;0.5;0.6;De Pol;Dedemsvaart;224788.0;513200.0
NL:S:19481990;0.5;0.7;0.0;0.0;0.0;0.0;Zwiersstraat;Dedemsvaart;227613.0;513680.0
NL:S:19580000;0.0;0.1;0.0;0.0;0.0;0.0;Station;Gramsbergen;242300.0;514395.0
NL:S:19580040;0.1;0.1;0.0;0.0;0.0;0.0;Aner Molen;Ane;240417.0;515531.0
NL:S:19580060;0.1;0.1;0.0;0.0;0.0;0.0;De Viersprong;Ane;240606.0;514799.0
NL:S:19580100;0.0;0.0;0.0;0.0;0.0;0.0;Slagenweg/Schansweg;Ane;239979.0;516169.0
NL:S:24350010;0.3;0.3;0.3;0.2;0.0;0.0;Spin;De Blesse;199603.5;538995.0
NL:S:24350030;0.7;0.7;0.7;0.2;0.0;0.0;Bovenweg;De Blesse;199112.5;539613.0
NL:S:24350050;0.6;0.8;0.7;0.5;0.0;0.0;Friese Veldweg;De Blesse;198025.0;538925.0
NL:S:24350070;0.9;0.8;2.7;2.3;0.0;0.0;Lagebroekweg;Blesdijke;197259.0;538346.5
NL:S:24350600;7.9;9.1;4.1;10.5;0.0;0.0;Noord;De Blesse;198806.7;540015.0
NL:S:24450030;0.2;0.2;0.1;0.1;0.0;0.0;Marijenkampen;Marijenkampen;201192.5;536571.0
NL:S:24450050;0.2;0.3;0.3;0.3;0.0;0.0;Eikenlaan;Willemsoord;200048.5;538447.5
NL:S:24451400;7.1;6.3;3.8;3.1;0.0;0.0;'t Centrum;Steenwijkerwold;200758.5;535452.0
NL:S:24451800;4.3;3.7;0.7;2.2;0.0;0.0;Willemsoord;Willemsoord;200502.0;537709.5
NL:S:24510020;9.0;9.1;7.7;7.1;0.0;0.0;Frieseweg;Oldemarkt;194701.0;537030.0
NL:S:24510040;7.8;5.6;8.9;8.5;0.0;0.0;Koningin Julianaweg;Oldemarkt;194812.0;536839.5
NL:S:24510060;7.0;6.2;1.8;2.5;0.0;0.0;Parochiehuis;Oldemarkt;195051.5;537221.0
NL:S:24510070;2.8;2.4;8.4;7.9;0.0;0.0;Kruisstraat;Oldemarkt;193991.0;537179.0
NL:S:24510090;1.1;1.0;0.4;0.7;0.0;0.0;De Boterberg;Oldemarkt;193717.0;537313.0
NL:S:24550030;3.7;3.8;2.5999999999999996;4.7;1.0;0.5;Zuidveen;Zuidveen;203786.0;532683.0
NL:S:24550050;3.2;3.7;6.1;7.3;0.5;0.3;Groot Verlaat;Steenwijk;202834.0;532269.5
NL:S:24550160;1.1;1.5;0.2;0.5;0.0;0.0;Dolderbrug;Steenwijk;203300.5;533825.0
NL:S:24552310;1.5;1.4;1.5;1.4;0.0;0.0;Gemeentewerken;Tuk;202912.5;534424.0
NL:S:24552330;1.3;1.1;0.0;0.1;0.0;0.0;Oldemarktseweg;Tuk;202629.5;534734.0
NL:S:24552350;0.3;0.4;0.2;0.7;0.0;0.0;Watertoren;Thij;201805.0;534905.0
NL:S:24552370;0.3;0.2;0.2;0.2;0.0;0.0;Thij;Thij;201021.0;535136.0
NL:S:24590100;7.7;2.6;42.8;26.9;0.0;0.0;Burchtstraat;Kuinre;185663.0;533277.0
NL:S:24610010;0.7;1.3;0.9;1.3;0.0;0.0;Venebosweg;Ossenzijl;191003.0;535957.0
NL:S:24610030;0.1;0.0;0.6;2.3;0.0;0.0;Kloosterdijk;Ossenzijl;188950.0;534347.5
NL:S:24620010;0.0;0.0;100.2;101.1;0.0;0.0;Busstation;Lemmer;177508.8;540108.6
NL:S:24620110;0.0;0.0;4.3;4.6;0.0;0.0;Lemsterweg;Rutten;176907.0;538566.0
NL:S:24620130;0.0;0.0;21.0;23.9;0.0;0.0;Houtmolen;Lemmer;177287.0;539670.0
NL:S:24680010;0.1;0.2;0.9;1.9;0.0;0.0;Uiterdijkenweg;Luttelgeest;185734.5;532502.5
NL:S:24720010;0.0;0.0;91.0;83.2;0.0;0.0;Lemsterpoort;Rutten;175955.0;535391.5
NL:S:24720090;0.0;0.0;1.6;2.1;0.0;0.0;Noordermeerweg;Rutten;175953.5;537636.5
NL:S:24820030;0.0;0.0;9.5;8.3;0.0;0.0;Wrakkenpad;Creil;174355.0;532396.5
NL:S:24820050;0.0;0.0;4.1;4.6;0.0;0.0;IJzerpad;Rutten;175208.5;533754.5
NL:S:24820090;0.0;0.0;162.6;146.1;0.0;0.0;Creil;Creil;173384.0;530726.5
NL:S:24920030;0.0;0.0;0.4;1.6;0.0;0.0;Weg van Ongenade;Espel;175514.5;526366.0
NL:S:24920050;0.0;0.0;7.3;7.0;0.0;0.0;Onderduikerspad;Espel;172438.5;527996.0
NL:S:24920070;0.0;0.0;3.2;5.3;0.0;0.0;Noordermiddenweg;Espel;173881.0;526383.0
NL:S:24920080;0.0;0.0;1.9;3.4;0.0;0.0;Espelerweg;Emmeloord;176871.5;526350.0
NL:S:24920110;0.0;0.0;63.6;60.9;0.0;0.0;Espel;Espel;172454.0;526399.0
NL:S:24920130;0.0;0.0;5.1;5.3;0.0;0.0;Klutenpad;Creil;172702.5;529508.0
NL:S:25000010;3.1;14.200000000000001;113.80000000000001;165.6;1.8;2.9000000000000004;Kettingstraat;Emmeloord;180102.5;524841.5
