STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:40800490;Boekvink;Veenendaal;6,2;5,4;1,3;1,2;0,0;0,0
NL:S:40800510;Tuinfluiter;Veenendaal;3,1;3,3;0,3;0,4;0,0;0,0
NL:S:40800610;Spitsbergenweg;Veenendaal;10,5;8,7;1,8;2,2;2,0;1,7
NL:S:40800630;De Meent;Veenendaal;8,8;8,3;1,4;1,3;1,9;1,5
NL:S:40800700;'t Kofschip;Veenendaal;5,1;4,6;0,6;0,8;0,0;0,0
NL:S:40800820;Zwaaiplein;Veenendaal;5,4;4,2;1,8;1,6;0,0;0,0
NL:S:40800910;Arsenaal;Veenendaal;3,9;3,9;0,4;0,7;0,0;0,0
NL:S:40800930;Kazemat;Veenendaal;1,6;1,5;0,5;0,2;0,0;0,0
NL:S:40800960;Händellaan;Veenendaal;1,9;1,6;0,3;0,3;0,0;0,0
NL:S:40800980;Smetanadreef;Veenendaal;3,3;2,9;0,5;0,5;0,0;0,0
NL:S:40801300;Landjuweel;Veenendaal;5,8;7,8;0,7;1,5;0,0;0,0
NL:S:40801320;Klovenier;Veenendaal;3,2;4,1;0,2;0,7;0,0;0,0
NL:S:40801350;De Schutterij;Veenendaal;4,6;4,9;1,2;1,6;0,0;0,0
NL:S:40801410;Regge;Veenendaal;9,2;6,4;0,8;0,9;0,0;0,0
NL:S:40801470;Stat. Centrum/Kerkewijk;Veenendaal;10,0;44,6;1,9;6,8;0,0;0,0
NL:S:40801510;Munnikenweg;Veenendaal;10,2;9,3;0,9;1,0;0,0;0,0
NL:S:40801540;Stat. Centrum/Rembrandtlaan;Veenendaal;1,1;2,8;0,2;0,7;0,0;0,0
NL:S:40802001;Heuvelsesteeg;Overberg;0,2;0,2;0,1;0,1;0,0;0,0
NL:S:40802003;Bergweg;Overberg;0,2;0,1;0,0;0,1;0,0;0,0
NL:S:40802005;De Ossenberg;Overberg;1,0;0,5;0,5;0,5;0,0;0,0
NL:S:40802007;Rijksinrichting de Overberg;Overberg;0,2;0,1;0,1;0,0;0,0;0,0
NL:S:40802009;Driesprong;Overberg;0,2;0,1;0,2;0,2;0,0;0,0
NL:S:40802011;Slaperdijk;Overberg;0,1;0,0;0,0;0,0;0,0;0,0
NL:S:40802014;Haarweg School;Overberg;0,1;0,1;0,0;0,0;0,0;0,0
NL:S:40802016;Haspel;Overberg;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:40802018;Overweg;Overberg;0,1;0,1;0,0;0,1;0,0;0,0
NL:S:40805005;Prins Clauslaan;Veenendaal;10,2;7,4;1,8;1,9;2,5;2,5
NL:S:40805007;Sirius;Veenendaal;31,1;23,8;4,2;3,7;5,5;3,8
NL:S:40805015;Van Veldekelaan;Veenendaal;0,3;0,4;0,1;0,2;0,0;0,0
NL:S:40805017;Station West;Veenendaal;1,7;2,3;0,7;0,9;0,0;0,0
NL:S:40805027;Politiebureau;Veenendaal;63,1;43,3;9,6;10,1;9,2;7,7
NL:S:40805037;'t Boveneind;Veenendaal;1,2;0,6;0,1;0,2;0,0;0,0
NL:S:40805120;Stat. Centrum/Plein;Veenendaal;74,3;14,9;10,6;4,1;14,6;11,6
NL:S:40806010;Centrum/ Wolweg;Veenendaal;4,2;2,9;1,6;1,6;0,0;0,0
NL:S:40806150;Westersingel;Veenendaal;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:40829001;De Rusthoeve;Koudhoorn;1,3;1,6;0,5;0,7;0,8;0,5
NL:S:40829003;Mooi Veluwe;Koudhoorn;6,2;7,0;4,8;6,5;4,3;3,2
NL:S:40829005;Landgoed Groot Spriel;Koudhoorn;0,1;0,1;0,1;0,2;0,0;0,1
NL:S:40829007;School Schovenhorst;Koudhoorn;0,8;0,8;0,3;0,1;0,3;0,1
NL:S:40829010;Landgoed Schovenhorst;Koudhoorn;0,5;0,8;1,0;1,2;0,6;0,8
