STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:47643230;Rubensstraat;Deventer;5,7;6,3;3,4;3,6;1,5;1,9
NL:S:47643250;Sportveldenlaan;Deventer;2,1;2,2;2,6;2,8;1,8;2,5
NL:S:47643270;Verpleeghuis St. Jurrien;Deventer;7,7;6,6;5,3;5,2;2,2;3,2
NL:S:47643290;Joost van de Vondellaan;Deventer;4,0;4,9;2,8;3,2;1,6;1,9
NL:S:47643310;Lookersdijk;Deventer;2,1;2,2;1,8;1,8;1,0;2,4
NL:S:47643960;Beestenmarkt;Deventer;15,4;21,9;7,7;10,0;5,5;6,8
NL:S:47643990;Bleekstraat;Deventer;2,9;1,1;1,2;0,5;0,7;0,4
NL:S:47644000;Veenweg;Deventer;3,6;6,8;1,6;2,9;1,0;2,3
NL:S:47644060;Hunneperweg;Deventer;1,4;16,1;1,0;14,8;0,6;6,2
NL:S:47644080;Fesevurstraat;Deventer;6,2;7,8;3,7;4,6;2,5;2,7
NL:S:47644110;Cornelis Lelylaan;Deventer;26,4;25,0;11,1;10,8;5,9;7,4
NL:S:47644290;Europaplein;Deventer;1,2;1,7;0,0;0,0;0,0;0,0
NL:S:47644310;Papenblik;Deventer;0,8;1,3;0,0;0,0;0,0;0,0
NL:S:47644370;Visbystraat;Deventer;2,5;4,5;0,0;0,0;0,0;0,0
NL:S:47645001;Splithofstraat;Deventer;6,6;5,8;0,0;0,0;0,0;0,0
NL:S:47645083;Ziekenhuis;Deventer;55,1;55,8;8,7;9,0;6,7;6,3
NL:S:47645090;Prins Bernhardweg;Schalkhaar;4,9;4,2;1,7;2,1;1,4;1,2
NL:S:47645110;Oerdijk;Schalkhaar;2,0;2,9;2,0;2,6;1,6;1,9
NL:S:47645150;Westenberg;Schalkhaar;27,8;29,0;15,6;14,8;9,6;15,0
NL:S:47645170;Kerkweg;Schalkhaar;12,5;9,1;6,8;6,4;5,9;4,6
NL:S:47646030;Industrieweg;Deventer;0,8;0,9;0,0;0,0;0,0;0,0
NL:S:47648050;Schooldijk;Lettele;0,0;0,0;0,0;0,0;0,0;0,0
