CONCESSIE;QUAYCODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
23;NL:Q:51750190;Muzenlaan;Gorinchem;1,4;11,4;0,5;8,1;1,2;6,2
23;NL:Q:51750230;Graaf Reinaldweg;Gorinchem;1,2;4,0;0,2;1,5;0,4;0,5
23;NL:Q:51750240;Fortes Lyceum;Gorinchem;4,4;8,0;1,5;0,5;0,8;0,4
23;NL:Q:51750280;Flank;Gorinchem;0,1;0,4;0,1;0,1;0,1;0,1
23;NL:Q:51750290;Flank;Gorinchem;0,4;0,9;0,4;0,2;0,0;0,1
23;NL:Q:51750380;Glacis;Gorinchem;0,6;0,4;0,1;0,1;0,3;0,1
23;NL:Q:51750390;Glacis;Gorinchem;0,6;0,8;0,2;0,2;0,1;0,2
23;NL:Q:51750410;Merwedekanaal;Gorinchem;10,6;1,5;3,2;0,1;1,6;0,1
23;NL:Q:51750420;Merwedekanaal;Gorinchem;0,3;12,2;0,2;0,9;0,0;0,7
23;NL:Q:51751200;Muzenlaan;Gorinchem;6,4;8,4;7,0;4,5;6,4;2,4
23;NL:Q:51751240;Graaf Reinaldweg;Gorinchem;3,9;0,8;1,0;0,4;0,7;0,3
23;NL:Q:51752130;Hoefslag;Gorinchem;19,2;18,5;0,0;0,0;0,0;0,0
23;NL:Q:51753080;Beatrixlaan;Dalem;3,3;6,6;1,1;2,6;1,5;2,6
23;NL:Q:51753090;Beatrixlaan;Dalem;2,1;3,8;1,2;1,5;1,9;0,8
23;NL:Q:51755510;Evenementenhal/Griendweg;Gorinchem;0,1;0,1;0,0;0,0;0,0;0,0
23;NL:Q:51755520;Evenementenhal/Griendweg;Gorinchem;0,3;0,6;0,0;0,0;0,0;0,0
23;NL:Q:51760090;Station Leerdam;Leerdam;7,8;4,3;1,3;0,0;0,0;0,0
23;NL:Q:51760120;Station Leerdam;Leerdam;8,2;7,1;0,1;1,0;0,0;0,0
23;NL:Q:51760230;Lingepolikliniek;Leerdam;0,3;0,6;0,0;0,0;0,0;0,0
23;NL:Q:51760240;Huis ter Leede;Leerdam;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:51760250;Brandweerkazerne;Leerdam;0,3;2,2;0,0;0,0;0,0;0,0
23;NL:Q:51760260;Brandweerkazerne;Leerdam;0,1;0,1;0,1;0,0;0,0;0,0
23;NL:Q:51760270;Prinses Marijkestraat;Leerdam;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:51760280;Prinses Marijkestraat;Leerdam;0,0;0,0;0,0;0,0;0,0;0,0
23;NL:Q:51760360;Lingepolikliniek;Leerdam;0,2;0,2;0,0;0,0;0,0;0,0
23;NL:Q:51760370;Gemeentehuis;Asperen;2,2;0,4;0,5;0,1;0,0;0,0
23;NL:Q:51760380;Gemeentehuis;Asperen;0,5;2,2;0,1;0,3;0,0;0,0
23;NL:Q:51760410;Gruttersdam;Asperen;0,0;0,4;0,0;0,1;0,0;0,0
