STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:41420270;Koepoortwal;Doesburg;33,0;34,9;14,9;15,4;10,5;10,1
NL:S:41420290;Haven;Doesburg;7,9;12,2;15,3;15,299999999999999;7,6;8,4
NL:S:41430070;Cafe Den Bremer;Toldijk;7,3;6,3;3,1;2,7;2,1;1,6
NL:S:41430110;Zuivelfabriek;Steenderen;0,8;0,9;0,2;0,5;0,3;0,6
NL:S:41430130;Gemeentehuis;Steenderen;4,5;4,8;2,1;2,6;2,2;2,5
NL:S:41430150;Dorp;Steenderen;24,8;16,6;12,6;7,7;8,2;4,6
NL:S:41430170;Aviko;Steenderen;13,3;24,0;6,3;9,6;4,3;7,9
NL:S:41448023;Hazenberg;Brummen;0,1;0,2;0,0;0,0;0,0;0,0
NL:S:41448027;Arnhemsestraat;Leuvenheim;0,2;0,2;0,2;0,1;0,0;0,0
NL:S:41448031;Hoofdstraat;Leuvenheim;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:41448033;School;Leuvenheim;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:41448035;Spankerenseweg;Leuvenheim;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:41448037;Het Bret;Brummen;0,1;0,1;0,1;0,0;0,0;0,0
NL:S:41448039;De Pothof;Brummen;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:41448043;Tolzicht;Brummen;0,0;0,1;0,0;0,0;0,0;0,0
NL:S:41448045;Centrum;Brummen;1,9;3,2;0,0;0,3;0,0;0,0
NL:S:41448047;Cortenoeverseweg;Brummen;0,5;0,3;1,5;0,2;0,0;0,0
NL:S:41448049;Kampweg;Brummen;3,4;3,6;2,2;0,6;0,0;0,0
NL:S:41448051;Meengatstraat;Brummen;0,5;0,6;0,2;0,2;0,0;0,0
NL:S:41448053;Berkelder;Brummen;0,2;0,6;0,3;0,1;0,0;0,0
NL:S:41448055;Elzenbosweg;Brummen;1,0;1,5;0,7;0,4;0,0;0,0
NL:S:41448057;Michaelshoeve;Brummen;0,4;1,5;0,4;0,1;0,0;0,0
NL:S:41448061;Station;Brummen;7,6;7,2;0,8;0,1;0,0;0,0
NL:S:41448066;De Hulsthoeve;Brummen;0,0;0,2;0,0;0,0;0,0;0,0
NL:S:41448072;Plein Vijf;Brummen;0,5;0,7;0,0;0,0;0,0;0,0
NL:S:41448074;Tuinstraat;Brummen;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:41448077;Gemeentehuis;Brummen;0,1;0,3;0,0;0,0;0,0;0,0
NL:S:41448079;Reuvershoeve;Brummen;0,1;0,5;0,0;0,1;0,0;0,0
NL:S:41450030;Kwartiersedijk;Babberich;0,3;3,9;0,0;0,0;0,0;0,0
NL:S:41450050;Beekseweg;Babberich;1,1;1,9;0,0;0,0;0,0;0,0
NL:S:41450070;Mariahoeve;Babberich;0,0;0,0;0,0;0,0;0,0;0,0
NL:S:41450090;Franciscusstraat;Babberich;7,1;6,1;2,3;2,5;0,0;0,0
NL:S:41450110;Gildestraat;Babberich;0,2;0,3;0,1;0,1;0,0;0,0
NL:S:41450130;Dorpstraat;Babberich;3,9;3,2;1,2;1,1;0,0;0,0
NL:S:41450150;Schutterstent St. Anna;Oud-Zevenaar;1,4;1,2;0,7;0,6;0,0;0,0
NL:S:41470010;Station;Didam;3,3;1,0;0,0;0,0;0,0;0,0
NL:S:41470050;Raadhuisstraat;Didam;0,2;0,7;0,0;0,0;0,0;0,0
NL:S:41470070;De Hoevert;Didam;0,6;0,7;0,0;0,0;0,0;0,0
NL:S:41470110;Gemeentehuis;Didam;0,5;0,3;0,0;0,0;0,0;0,0
NL:S:41470130;De Linde;Didam;0,2;0,1;0,0;0,0;0,0;0,0
NL:S:41470210;Kapelstraat;Loil;0,5;0,9;0,0;0,0;0,0;0,0
NL:S:41471130;Kerk;Didam;3,0;1,6;0,0;0,0;0,0;0,0
NL:S:41480010;Elver;Nieuw-Wehl;2,2;2,5;0,0;0,0;0,0;0,0
NL:S:41490030;Centrum;Wehl;0,3;0,2;0,0;0,0;0,0;0,0
NL:S:41490050;Station;Wehl;7,3;4,9;0,0;0,0;0,0;0,0
NL:S:41490070;Brandweerkazerne;Wehl;0,2;0,3;0,0;0,0;0,0;0,0
NL:S:41500010;Gelre ziekenhuizen;Zutphen;41,1;40,9;6,7;5,6;4,3;4,8
NL:S:41500030;Bieshorstlaan;Warnsveld;4,1;5,7;1,5;2,3;0,5;1,4
NL:S:41500050;'t Horseler;Warnsveld;32,7;27,5;11,8;11,8;8,0;7,4
NL:S:41500090;Winkelcentrum Dreiumme;Warnsveld;46,4;46,9;23,5;25,2;13,6;13,1
NL:S:41500151;Havepad;Warnsveld;10,2;12,2;6,7;6,9;3,8;5,3
NL:S:41500160;Overkamp;Warnsveld;65,6;57,0;27,4;21,4;18,0;14,2
NL:S:41500180;Oude Begraafplaats;Zutphen;18,4;17,9;9,8;8,2;6,7;7,5
NL:S:41500190;Ooyerhoekseweg;Warnsveld;9,2;8,4;2,1;2,0;2,1;2,4
NL:S:41500251;Rhienderinklaan;Warnsveld;2,4;2,4;0,5;0,3;0,2;0,2
NL:S:41500270;Den Bouw;Warnsveld;1,3;1,0;0,0;0,0;0,0;0,0
NL:S:41500310;Martinuskerk;Warnsveld;1,4;1,9;0,0;0,0;0,0;0,0
NL:S:41500470;Welgelegen;Warnsveld;20,8;22,1;7,9;7,9;5,3;5,5
NL:S:41500550;Kerkpad;Warnsveld;12,0;11,6;3,8;0,6;1,4;0,5
NL:S:41501010;De Groene Jager;Wichmond;1,0;0,7;0,6;0,7;0,8;0,4
NL:S:41501100;De Vlieg;Vierakker;0,3;0,7;0,0;0,0;0,0;0,0
NL:S:41501450;Klooster;Warnsveld;25,9;17,6;16,8;10,8;11,4;8,2
NL:S:41501470;Leesten;Warnsveld;31,1;29,6;11,3;7,9;7,1;6,4
NL:S:41503001;Gelderhorst;Zutphen;4,2;5,0;0,0;0,0;0,0;0,0
NL:S:41503010;Den Elter;Zutphen;0,1;0,2;0,4;0,4;0,3;0,3
NL:S:41504070;Bronsbergen;Zutphen;4,3;3,6;1,1;1,5;0,6;1,1
NL:S:41504090;Revelhorst;Zutphen;5,0;7,3;2,8;2,8;3,2;2,7
