STOPPLACECODE;NAME;TOWN;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO
NL:S:43110170;Kettingbrug;Hengelo;3,1;3,9;2,0;1,7;0,9;1,2
NL:S:43110210;UT/De Hems;Enschede;14,2;14,8;21,5;21,3;10,8;17,2
NL:S:43110230;UT/Calslaan;Enschede;0,4;1,7;6,0;12,7;3,4;8,2
NL:S:43110250;UT/Reelaan;Enschede;6,7;8,3;5,9;11,7;3,7;7,8
NL:S:43110270;UT/Langenkampweg;Enschede;36,9;31,6;45,1;31,9;21,1;39,3
NL:S:43110280;UT/Sportcentrum;Enschede;2,4;1,3;1,2;1,5;1,1;2,1
NL:S:43110310;UT/Hallenweg;Enschede;26,3;26,1;0,0;0,0;0,0;0,0
NL:S:43110330;UT/Bastille;Enschede;8,9;7,2;0,0;0,0;0,0;0,0
NL:S:43111290;UT/De Zul;Enschede;24,6;25,9;0,0;0,0;0,0;0,0
NL:S:43130010;Platinastraat;Hengelo;25,9;32,3;5,9;6,0;1,5;1,4
NL:S:43130030;Bellersweg;Beckum;1,7;1,7999999999999998;0,2;0,7;0,1;0,2
NL:S:43130050;Sluitersdijk;Beckum;1,5;2,0;0,4;0,5;0,2;0,1
NL:S:43130070;Wolfkaterweg;Beckum;6,699999999999999;8,0;2,2;4,1;1,4;2,5
NL:S:43130090;R.K. Kerk;Beckum;5,1;4,8;2,3;1,7;1,1;1,1
NL:S:43130140;Bentelerweg;Stepelo;0,5;0,7;0,1;0,6;0,1;0,2
NL:S:43150010;Grens;Buurse;0,4;0,5;0,0;0,0;0,0;0,0
NL:S:43150030;Braambrug;Buurse;0,4;0,4;0,0;0,0;0,0;0,0
NL:S:43150050;Garage Den Posten;Buurse;0,2;1,1;0,0;0,0;0,0;0,0
NL:S:43150090;Zendvelderweg;Buurse;0,4;0,3;0,0;0,0;0,0;0,0
NL:S:43150110;Hofweg;Buurse;0,7;0,2;0,0;0,0;0,0;0,0
NL:S:43150130;Koekkoeksbrug;Buurse;0,0;0,5;0,0;0,0;0,0;0,0
NL:S:43150150;Cafe Winkelman;Buurse;2,2;1,1;0,0;0,0;0,0;0,0
NL:S:43160150;Cafe De Witte;Hengevelde;3,9;5,7;0,2;0,2;0,0;0,0
NL:S:43160210;Cafe Roesscher;Hengevelde;0,2;0,2;0,0;0,0;0,0;0,0
NL:S:43160250;Kerk;Hengevelde;21,5;19,0;3,7;4,0;0,0;0,0
