STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
NL:S:61192000;32.1;37.8;24.2;27.3;16.7;19.6;P+R Nijmegen Noord;Ressen;187522.0;432821.0
NL:S:61200080;6.8;1.0;3.5;0.5;2.0;0.1;Gansstraat;Oosterhout;185166.0;432564.0
NL:S:61200210;5.8;5.0;2.5;2.3;1.8;1.5;Van Woerkomstraat;Oosterhout;185146.5;432199.0
NL:S:61200230;0.6;2.1;0.1;1.3;0.1;0.8;Zandstraat;Oosterhout;185331.0;432549.0
NL:S:61200250;0.6;0.7;0.3;0.4;0.2;0.2;Vredesplein;Oosterhout;185491.0;432804.0
NL:S:61200290;2.1;4.6;1.5;2.7;1.5;1.8;Peperstraat;Oosterhout;185315.0;432876.0
NL:S:61220010;58.199999999999996;55.4;32.2;28.900000000000002;20.3;18.1;Julianastraat;Ewijk;179460.0;431673.5
NL:S:61220020;2.2;2.0;1.4;1.7;1.1;1.1;Deijnschestraat;Winssen;175384.5;432340.0
NL:S:61220030;2.5;2.7;1.5;2.4;0.9;1.1;Molenweg;Ewijk;178340.0;431806.5
NL:S:61220040;5.4;5.9;1.4;1.9000000000000001;1.2999999999999998;1.2;Geerstraat;Winssen;176059.0;432214.5
NL:S:61220060;23.200000000000003;21.9;13.8;13.9;10.1;9.899999999999999;Leegstraat;Winssen;176815.0;432114.5
NL:S:61220170;12.5;13.899999999999999;7.699999999999999;9.4;5.9;6.5;Keizershoeve;Ewijk;179871.0;431553.5
NL:S:61220190;9.1;11.2;6.0;7.5;4.7;4.5;Plakstraat;Winssen;177362.0;432128.0
NL:S:61240010;2.8;4.0;1.2;1.6;0.9;1.2;Nieuweweg;Wijchen;179862.5;424897.5
NL:S:61240020;0.7;1.1;0.2;0.5;0.3;0.5;Kraaijenberg 79e straat;Wijchen;176872.5;424693.5
NL:S:61240040;5.0;3.2;1.3;1.2;1.1;0.8;Kraaijenberg 86e straat;Wijchen;177142.5;424727.5
NL:S:61240050;0.1;0.1;0.0;0.0;0.0;0.0;Aalsburg;Wijchen;177936.7;424593.0
