;STOPPLACECODE;INSTAP_WERK;UITSTAP_WERK;INSTAP_ZA;UITSTAP_ZA;INSTAP_ZO;UITSTAP_ZO;NAME;TOWN;RD-X;RD-Y
4311;NL:S:61121320;4.2;3.6;0.0;0.0;0.0;0.0;Snoekgracht;Beuningen;180998.0;429084.5
4312;NL:S:61121340;4.6;3.4;0.0;0.0;0.0;0.0;Ganzeneiland;Beuningen;181432.5;428951.0
4313;NL:S:61121360;3.7;3.8;0.0;0.0;0.0;0.0;Wolfsbossingel;Beuningen;181783.5;429168.5
4314;NL:S:61190030;0.1;0.2;0.2;0.2;0.1;0.1;Het Nevelveld;Doornik;188897.0;432545.5
4315;NL:S:61190051;0.8;1.1;0.5;0.5;0.4;0.2;Zandsepad;Doornik;188731.0;432084.5
4316;NL:S:61190070;0.7;0.8;0.4;0.5;0.3;0.5;Doornik;Doornik;188852.5;431672.0
4317;NL:S:61190090;1.9;1.1;1.1;0.9;0.5;0.3;Bekkersland;Doornik;188892.0;431256.0
4318;NL:S:61190110;1.0;3.3;0.8;2.0;0.3;1.0;Laauwikstraat;Lent;188521.0;430908.5
4319;NL:S:61190130;11.5;10.1;7.6;8.1;4.7;4.8;Petuniastraat;Lent;188238.5;430853.5
4320;NL:S:61190150;18.0;12.2;11.6;6.3;6.0;3.5;Lentseveld;Lent;187947.5;430666.0
4321;NL:S:61190190;21.7;20.7;2.7;1.9;1.7;1.6;Citadel College;Lent;187324.5;430846.0
4322;NL:S:61190230;65.6;82.3;46.9;66.2;26.2;38.3;Station Lent Laauwikstraat;Lent;187777.5;430490.5
4323;NL:S:61190250;9.5;6.6;6.8;4.7;4.7;3.9;Eikenlaan;Lent;188471.0;430999.5
4324;NL:S:61190270;22.0;22.3;18.7;15.0;9.6;8.2;Station Lent;Lent;187686.5;430599.0
4325;NL:S:61190300;30.6;37.6;12.6;15.5;7.6;8.9;Stationsstraat;Lent;186240.5;433326.5
4326;NL:S:61190350;32.7;33.5;18.1;19.6;13.4;13.5;Oude Groenestraat;Oosterhout;186553.8;432792.5
4327;NL:S:61190370;3.3;6.5;2.0;8.0;0.9;3.0;Turennesingel;Lent;188332.0;430387.5
4328;NL:S:61190390;20.6;16.0;8.1;6.6;5.1;3.0;Dijkstraat;Lent;187215.5;431221.0
4329;NL:S:61190410;9.2;7.8;5.8;6.0;2.5;2.7;Kruidenstraat;Oosterhout;186276.0;432664.5
4330;NL:S:61190470;49.6;54.7;34.6;38.1;24.9;26.9;Terracottastraat;Oosterhout;186841.0;432335.0
4331;NL:S:61190490;1.2;1.4;1.4;0.7;0.4;0.7;Van Boetzelaerstraat;Oosterhout;185790.0;432025.0
4332;NL:S:61190710;54.7;48.6;35.2;31.6;15.1;15.4;Jonagoldstraat;Oosterhout;186003.5;432360.0
4333;NL:S:61190750;34.7;30.4;21.2;18.9;10.1;11.3;De Klif;Oosterhout;186518.5;432062.5
4334;NL:S:61190790;21.6;23.2;14.0;14.8;6.2;7.4;Aquilastraat;Oosterhout;186838.0;431875.0
4335;NL:S:61191390;46.0;41.5;35.6;28.6;18.8;16.7;Frankrijkstraat;Lent;187866.0;431319.0
4336;NL:S:61191410;42.1;45.1;24.6;27.8;12.6;16.2;De Ster;Lent;188135.0;431380.5
4337;NL:S:61191490;0.4;12.7;0.5;7.9;0.2;5.1;Dalidastraat;Lent;187681.0;431810.0
4338;NL:S:61191510;0.1;9.8;0.2;4.9;0.4;2.9;Thermion (West);Lent;187564.0;431571.0
4339;NL:S:61191520;31.6;4.2;20.2;3.6;11.9;1.5;Thermion (Oost);Lent;187684.0;431606.0
4340;NL:S:61191550;17.6;16.3;12.1;10.3;6.4;7.9;Fluitenkruid;Lent;188436.0;431314.5
4341;NL:S:61191600;0.8;1.3;0.6;0.9;0.3;0.4;Duitslandstraat;Lent;188739.0;430930.0
4342;NL:S:61192000;25.7;28.9;18.5;22.1;13.5;15.3;P+R Nijmegen Noord;Ressen;187522.0;432821.0
4343;NL:S:61200080;3.8;0.1;2.1;0.1;1.2;0.0;Gansstraat;Oosterhout;185166.0;432564.0
4344;NL:S:61200210;7.5;7.4;2.8;2.9;1.9;2.0;Van Woerkomstraat;Oosterhout;185146.5;432199.0
4345;NL:S:61200230;0.0;2.6;0.0;1.8;0.0;1.0;Zandstraat;Oosterhout;185331.0;432549.0
4346;NL:S:61200250;0.2;1.1;0.0;0.4;0.0;0.3;Vredesplein;Oosterhout;185491.0;432804.0
4347;NL:S:61200290;2.7;1.8;1.9;1.4;1.3;1.1;Peperstraat;Oosterhout;185315.0;432876.0
4348;NL:S:61220010;52.8;51.6;27.1;27.400000000000002;15.2;15.0;Julianastraat;Ewijk;179460.0;431673.5
4349;NL:S:61220020;1.8;2.1;1.1;1.2;0.9;0.8;Deijnschestraat;Winssen;175384.5;432340.0
4350;NL:S:61220030;3.7;2.4000000000000004;2.6999999999999997;1.5;1.2;1.2;Molenweg;Ewijk;178340.0;431806.5
4351;NL:S:61220040;4.6;4.7;1.4;2.4000000000000004;1.2999999999999998;1.4;Geerstraat;Winssen;176059.0;432214.5
4352;NL:S:61220060;26.0;23.1;13.3;11.399999999999999;8.0;7.0;Leegstraat;Winssen;176815.0;432114.5
4353;NL:S:61220170;12.5;15.1;8.2;10.899999999999999;4.7;5.6;Keizershoeve;Ewijk;179871.0;431553.5
4354;NL:S:61220190;8.6;11.4;5.0;7.5;3.9;3.3;Plakstraat;Winssen;177362.0;432128.0
4355;NL:S:61240010;3.1;3.5;0.6;1.2;0.5;0.4;Nieuweweg;Wijchen;179862.5;424897.5
4356;NL:S:61240020;0.8;0.8;0.5;0.6;0.3;0.4;Kraaijenberg 79e straat;Wijchen;176872.5;424693.5
4357;NL:S:61240040;5.0;2.6;1.5;1.5;1.1;1.2;Kraaijenberg 86e straat;Wijchen;177142.5;424727.5
4358;NL:S:61240050;0.0;0.0;0.0;0.0;0.0;0.0;Aalsburg;Wijchen;177936.7;424593.0
4359;NL:S:61240060;10.3;10.4;5.1;5.3;3.0;3.3;Homberg;Wijchen;177401.0;424830.0
4360;NL:S:61240070;5.2;4.7;1.9;2.1;1.3;1.9;Buizerdstraat;Wijchen;178047.5;425204.0
4361;NL:S:61240080;4.8;4.5;2.0;1.7;1.1;1.2;Heilige Stoel 38/46;Wijchen;177503.0;425142.0
