stopplacecode;quaycode;naam;plaats;straat;rd-x;rd-y;JAAR;Lijn;INSTAP_WERK;INSTAP_ZA;INSTAP_ZO;UITSTAP_WERK;UITSTAP_ZA;UITSTAP_ZO
NL:S:43001830;NL:Q:43001840;Rabobank;Enschede;Zuiderval;257673;470229;2019;2;352.0;30.0;6.0;246.0;14.0;8.0
NL:S:43001830;NL:Q:43001840;Rabobank;Enschede;Zuiderval;257673;470229;2019;8;22.0;0.0;0.0;10.0;0.0;0.0
NL:S:43010110;NL:Q:43010110;Oikos;Glanerbrug;Atalantalaan;263187;469802;2019;3;2196.0;145.0;74.0;1977.0;134.0;61.0
NL:S:43100970;NL:Q:43100970;Marssteden;Enschede;Marssteden;253384;470859;2019;7;168.0;0.0;0.0;174.0;0.0;0.0
NL:S:43100970;NL:Q:43100980;Marssteden;Enschede;Marssteden;253385;470868;;;;;;;;
NL:S:43002310;NL:Q:43002310;Mariendaal;Enschede;Geessinkweg;256448;468918;2019;1;630.0;33.0;8.0;14.0;0.0;0.0
NL:S:43002310;NL:Q:43002320;Mariendaal;Enschede;Geessinkweg;256434;468902;2019;1;15.0;1.0;0.0;574.0;37.0;13.0
NL:S:43100800;NL:Q:43100800;Weleweg;Boekelo;Weleweg;251745;469354;2019;506;20.0;1.0;0.0;98.0;3.0;0.0
NL:S:44105030;NL:Q:44105030;Landsteinerlaan;Boekelo;Boekelosestraat;252025;469427;2019;506;3.0;0.0;0.0;60.0;5.0;0.0
NL:S:44105030;NL:Q:44105040;Landsteinerlaan;Boekelo;Boekelosestraat;252009;469415;2019;506;49.0;1.0;0.0;2.0;0.0;0.0
NL:S:43001670;NL:Q:43001670;Broekheurnerborg;Enschede;Rechterveldbrink;256736;468888;2019;508;32.0;11.0;0.0;31.0;11.0;0.0
NL:S:43001950;NL:Q:43001950;Ypelobrink;Enschede;Het Bijvank;256417;468356;2019;1;941.0;71.0;45.0;38.0;2.0;1.0
NL:S:43001950;NL:Q:43001960;Ypelobrink;Enschede;Het Bijvank;256474;468342;2019;1;33.0;0.0;0.0;994.0;84.0;44.0
NL:S:43004170;NL:Q:43004170;Twekkeler Es;Enschede;Twekkeler Es;254281;471138;2019;7;15.0;0.0;0.0;65.0;0.0;0.0
NL:S:43004170;NL:Q:43004170;Twekkeler Es;Enschede;Twekkeler Es;254281;471138;2019;8;21.0;0.0;0.0;2.0;0.0;0.0
NL:S:43004170;NL:Q:43004180;Twekkeler Es;Enschede;Twekkeler Es;254280;471152;2019;7;96.0;0.0;0.0;50.0;0.0;0.0
NL:S:43004170;NL:Q:43004180;Twekkeler Es;Enschede;Twekkeler Es;254280;471152;2019;8;1.0;0.0;0.0;21.0;0.0;0.0
NL:S:43000190;NL:Q:43000190;Wkc Stadsveld;Enschede;Zweringweg;255865;470149;;;;;;;;
NL:S:43000190;NL:Q:43000200;Wkc Stadsveld;Enschede;Zweringweg;255878;470162;;;;;;;;
NL:S:43001640;NL:Q:43001640;Lintveldebrink;Enschede;De Posten;257184;467812;2019;1;592.0;54.0;12.0;4.0;0.0;0.0
NL:S:43001640;NL:Q:43001710;Lintveldebrink;Enschede;De Posten;257241;467871;2019;1;1.0;0.0;1.0;537.0;73.0;21.0
NL:S:43001640;NL:Q:43001710;Lintveldebrink;Enschede;De Posten;257241;467871;2019;508;2.0;1.0;0.0;21.0;8.0;0.0
NL:S:43100070;NL:Q:43100070;Tinsteden;Enschede;Marssteden;252557;470757;;;;;;;;
NL:S:43100070;NL:Q:43100080;Tinsteden;Enschede;Marssteden;252554;470749;2019;7;5.0;0.0;0.0;11.0;0.0;0.0
NL:S:43000150;NL:Q:43000150;B.W. ter Kuilestraat;Enschede;Benjamin Willem Ter Kuilestraat;256577;470151;;;;;;;;
NL:S:43000150;NL:Q:43000160;B.W. ter Kuilestraat;Enschede;Benjamin Willem Ter Kuilestraat;256633;470100;;;;;;;;
NL:S:43004090;NL:Q:43004090;Orion;Enschede;Kanaalstraat;255141;471965;2019;7;0.0;0.0;0.0;3.0;0.0;0.0
NL:S:43004090;NL:Q:43004100;Orion;Enschede;Kanaalstraat;255164;471937;2019;7;1.0;0.0;0.0;8.0;0.0;0.0
NL:S:44100090;NL:Q:44100090;Teesinklanderweg;Usselo;Haaksbergerstraat;253006;467902;2019;62;11.0;1.0;1.0;39.0;2.0;0.0
NL:S:44100090;NL:Q:44100100;Teesinklanderweg;Usselo;Haaksbergerstraat;253143;467992;2019;62;25.0;0.0;0.0;21.0;0.0;0.0
NL:S:43003070;NL:Q:43003070;Pathmossingel;Enschede;Pathmossingel;256583;470969;;;;;;;;
NL:S:43003070;NL:Q:43003080;Pathmossingel;Enschede;Pathmossingel;256588;470936;;;;;;;;
NL:S:43004410;NL:Q:43004410;Transportcentrum;Enschede;Auke Vleerstraat;254099;472294;2019;7;54.0;0.0;0.0;126.0;0.0;0.0
NL:S:43004410;NL:Q:43004410;Transportcentrum;Enschede;Auke Vleerstraat;254099;472294;2019;8;54.0;0.0;0.0;1.0;0.0;0.0
NL:S:43004410;NL:Q:43004420;Transportcentrum;Enschede;Auke Vleerstraat;254103;472195;2019;7;77.0;0.0;0.0;65.0;0.0;0.0
NL:S:43004410;NL:Q:43004420;Transportcentrum;Enschede;Auke Vleerstraat;254103;472195;2019;8;3.0;0.0;0.0;19.0;0.0;0.0
NL:S:43006030;NL:Q:43006030;De Klomp;Enschede;Oldenzaalsestraat;258392;471155;;;;;;;;
